ISBN,Book_avg_rating,Book_rating_count,Book_rating_std,Year_Of_Publication,Publisher,Genre,Title_Author_combined,Genre_grouped
0679429220,2.92896174863388,183,2.92896174863388,1994,Random House,Non-Fiction,Midnight in the Garden of Good and Evil: A Savannah Story John Berendt,Non_Fiction
0671867156,1.7737226277372262,137,1.7737226277372262,1998,Pocket,Mystery,Pretend You Don't See Her Mary Higgins Clark,Thriller_Mystery
0312252617,3.75,16,3.75,2001,St. Martin's Press,Romance,Fast Women Jennifer Crusie,Romance
0312261594,3.3529411764705883,17,3.3529411764705883,2001,St. Martin's Press,Fiction,Female Intelligence Jane Heller,Fiction
0451166892,2.787878787878788,165,2.787878787878788,1996,Signet Book,Historical Fiction,The Pillars of the Earth Ken Follett,Historical
067976397X,1.9555555555555555,90,1.9555555555555555,1995,Vintage,Historical Fiction,Corelli's Mandolin : A Novel LOUIS DE BERNIERES,Historical
0786868716,3.900709219858156,282,3.900709219858156,2003,Hyperion,Inspirational,The Five People You Meet in Heaven Mitch Albom,Non_Fiction
0446608653,1.3043478260869565,69,1.3043478260869565,2000,Warner Books,Thriller,The Alibi Sandra Brown,Thriller_Mystery
0446612545,1.96045197740113,177,1.96045197740113,2003,Warner Books,Romance,The Beach House James Patterson,Romance
0553584383,2.7555555555555555,45,2.7555555555555555,2004,Bantam Books,Thriller,Dead Aim IRIS JOHANSEN,Thriller_Mystery
0671027360,3.3233830845771144,402,3.3233830845771144,2001,Pocket Star,Thriller,Angels &amp; Demons Dan Brown,Thriller_Mystery
0743439740,2.6363636363636362,66,2.6363636363636362,2002,Pocket,Unknown,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder Ann Rule",Unknown
0671042858,2.584507042253521,142,2.584507042253521,2000,Pocket,Horror,The Girl Who Loved Tom Gordon Stephen King,Horror
0425184226,1.394736842105263,76,1.394736842105263,2002,Berkley Publishing Group,Thriller,The Sum of All Fears Tom Clancy,Thriller_Mystery
0060929790,4.178571428571429,56,4.178571428571429,1998,Perennial,Magical Realism,One Hundred Years of Solitude Gabriel Garcia Marquez,SciFi_Fantasy
0060976845,2.7222222222222223,324,2.7222222222222223,1996,Perennial,Fiction,Little Altars Everywhere: A Novel Rebecca Wells,Fiction
0671004573,1.746031746031746,126,1.746031746031746,2001,Pocket,Thriller,Before I Say Good-Bye Mary Higgins Clark,Thriller_Mystery
0446601640,1.303030303030303,66,1.303030303030303,1994,Warner Books,Romance,Slow Waltz in Cedar Bend Robert James Waller,Romance
038572179X,2.6044776119402986,134,2.6044776119402986,2003,Anchor,Literary Fiction,Atonement : A Novel IAN MCEWAN,Fiction
0553583468,2.91044776119403,67,2.91044776119403,2002,Bantam Books,Unknown,"Whisper of Evil (Hooper, Kay. Evil Trilogy.) Kay Hooper",Unknown
0380778556,3.2238805970149254,67,3.2238805970149254,1994,Avon,Gothic,Rebecca Daphne Du Maurier,Horror
0505524996,0.8888888888888888,9,0.8888888888888888,2002,Love Spell,Science Fiction,Contact Susan Grant,SciFi_Fantasy
044651747X,1.5476190476190477,42,1.5476190476190477,1995,Warner Books,Thriller,Puerto Vallarta Squeeze Robert James Waller,Thriller_Mystery
0446527165,2.171875,64,2.171875,2000,Warner Books,Historical Fiction,Wish You Well David Baldacci,Historical
0671461494,3.0,31,3.0,1982,Pocket,Science Fiction,The Hitchhiker's Guide to the Galaxy Douglas Adams,SciFi_Fantasy
0385337639,2.627450980392157,51,2.627450980392157,2003,Delta,Unknown,Crow Lake (Today Show Book Club #7) Mary Lawson,Unknown
039575514X,4.9375,16,4.9375,1995,Mariner Books,Classic,My Antonia Willa Cather,Fiction
0451206673,2.8,40,2.8,2002,Signet Book,Fiction,Pen Pals Olivia Goldsmith,Fiction
0330332775,3.810126582278481,79,3.810126582278481,1997,Picador (UK),Romance,Bridget Jones's Diary Helen Fielding,Romance
0553278223,3.537037037037037,54,3.537037037037037,1984,Spectra,Science Fiction,The Martian Chronicles RAY BRADBURY,SciFi_Fantasy
3257208626,3.909090909090909,11,3.909090909090909,1994,Distribooks Inc,Dystopian,Fahrenheit 451 Ray Bradbury,SciFi_Fantasy
0060977493,2.598639455782313,147,2.598639455782313,1998,Perennial,Literary Fiction,The God of Small Things Arundhati Roy,Fiction
0316602906,2.841463414634146,82,2.841463414634146,2003,"Little, Brown",Crime,The Big Bad Wolf: A Novel James Patterson,Thriller_Mystery
0316693006,3.9101123595505616,89,3.9101123595505616,2002,"Little, Brown",Crime,Four Blind Mice James Patterson,Thriller_Mystery
0345311396,0.8333333333333334,48,0.8333333333333334,1994,Ballantine Books,Legal Thriller,Private Screening Richard North Patterson,Thriller_Mystery
0345378490,1.990950226244344,221,1.990950226244344,1995,Ballantine Books,Science Fiction,Congo Michael Crichton,SciFi_Fantasy
0345404793,2.369565217391304,46,2.369565217391304,2001,Ballantine Books,Legal Thriller,Protect and Defend Richard North Patterson,Thriller_Mystery
0375400117,4.1923076923076925,52,4.1923076923076925,1997,Alfred A. Knopf,Historical Fiction,Memoirs of a Geisha Arthur Golden,Historical
0375705856,2.766990291262136,103,2.766990291262136,2000,Vintage,Literary Fiction,Plainsong (Vintage Contemporaries) KENT HARUF,Fiction
0380717018,2.5641025641025643,117,2.5641025641025643,1992,Avon,Unknown,Body of Evidence (Kay Scarpetta Mysteries (Paperback)) Patricia D. Cornwell,Unknown
0380718332,2.4313725490196076,153,2.4313725490196076,1993,Avon,Unknown,All That Remains (Kay Scarpetta Mysteries (Paperback)) Patricia D. Cornwell,Unknown
0385316895,4.4,10,4.4,1998,Bantam Dell Pub Group,Fiction,Legacy of Silence Belva Plain,Fiction
0385497466,2.6770833333333335,96,2.6770833333333335,2000,Doubleday,Legal Thriller,The Brethren JOHN GRISHAM,Thriller_Mystery
0385508042,2.5,154,2.5,2003,Doubleday Books,Legal Thriller,The King of Torts John Grisham,Thriller_Mystery
0385509456,3.0476190476190474,63,3.0476190476190474,2003,Doubleday,Fiction,The Curious Incident of the Dog in the Night-Time : A Novel MARK HADDON,Fiction
0385511612,3.188679245283019,106,3.188679245283019,2003,Doubleday,Fiction,Bleachers John Grisham,Fiction
0385730586,3.7,100,3.7,2003,Delacorte Books for Young Readers,Young Adult,Sisterhood of the Traveling Pants ANN BRASHARES,Young_Adult
0446605484,2.3411764705882354,170,2.3411764705882354,2001,Warner Vision,Unknown,Roses Are Red (Alex Cross Novels) James Patterson,Unknown
0446610399,2.539568345323741,139,2.539568345323741,2001,Warner Books,Romance,The Rescue Nicholas Sparks,Romance
0449006522,2.7662337662337664,77,2.7662337662337664,2002,Ballantine Books,Horror,Manhattan Hunt Club JOHN SAUL,Horror
0449911004,2.5344827586206895,58,2.5344827586206895,1996,Ballantine Books,Unknown,Patty Jane's House of Curl (Ballantine Reader's Circle) LORNA LANDVIK,Unknown
0451162072,2.814814814814815,54,2.814814814814815,1994,Signet Book,Horror,Pet Sematary Stephen King,Horror
0452282152,3.5375375375375375,333,3.5375375375375375,2001,Plume Books,Historical Fiction,Girl with a Pearl Earring Tracy Chevalier,Historical
0553580388,1.380952380952381,42,1.380952380952381,2001,Bantam Books,Medical Thriller,The Patient Michael Palmer,Thriller_Mystery
0671023616,3.80327868852459,61,3.80327868852459,1998,Pocket,Unknown,Postmortem (Kay Scarpetta Mysteries (Paperback)) Patricia Cornwell,Unknown
0671027387,2.356382978723404,188,2.356382978723404,2002,Pocket,Thriller,Deception Point Dan Brown,Thriller_Mystery
0684848783,2.968,125,2.968,1999,Scribner,Memoir,Tis : A Memoir Frank McCourt,Non_Fiction
0743486226,3.020408163265306,49,3.020408163265306,2003,Atria,Thriller,Angels &amp; Demons Dan Brown,Thriller_Mystery
140003180X,3.08,50,3.08,2004,Anchor,Unknown,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency) ALEXANDER MCCALL SMITH,Unknown
155874262X,3.3333333333333335,135,3.3333333333333335,1993,Health Communications,Unknown,Chicken Soup for the Soul (Chicken Soup for the Soul) Jack Canfield,Unknown
0060987103,3.252032520325203,246,3.252032520325203,1996,Regan Books,Fantasy,Wicked: The Life and Times of the Wicked Witch of the West Gregory Maguire,SciFi_Fantasy
0151008116,3.9464285714285716,112,3.9464285714285716,2002,Harcourt,Adventure,Life of Pi Yann Martel,Adventure
0525947647,3.2752293577981653,109,3.2752293577981653,2003,Dutton Books,Unknown,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right Al Franken,Unknown
0804111359,2.627737226277372,137,2.627737226277372,1993,Ballantine Books,Literary Fiction,Secret History DONNA TARTT,Fiction
1558744150,3.172727272727273,110,3.172727272727273,1996,Health Communications,Unknown,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)) Jack Canfield,Unknown
0316782505,2.7422680412371134,97,2.7422680412371134,2001,"Little, Brown",Mystery,The Weight of Water Anita Shreve,Thriller_Mystery
0375814248,0.0,2,0.0,2002,Knopf Books for Young Readers,Children,James and the Giant Peach ROALD DAHL,Children
0375823352,3.2222222222222223,9,3.2222222222222223,2002,Knopf Books for Young Readers,Unknown,"The Amber Spyglass (His Dark Materials, Book 3) PHILIP PULLMAN",Unknown
037582345X,5.583333333333333,12,5.583333333333333,2002,Knopf Books for Young Readers,Unknown,"The Golden Compass (His Dark Materials, Book 1) PHILIP PULLMAN",Unknown
0375823468,2.7142857142857144,7,2.7142857142857144,2002,Knopf Books for Young Readers,Unknown,"The Subtle Knife (His Dark Materials, Book 2) PHILIP PULLMAN",Unknown
0440241413,3.1551724137931036,58,3.1551724137931036,2003,Dell,Romance,Confessions of a Shopaholic SOPHIE KINSELLA,Romance
0451526341,4.370689655172414,116,4.370689655172414,2004,Signet,Dystopian,Animal Farm George Orwell,SciFi_Fantasy
0553280589,2.764705882352941,51,2.764705882352941,1989,Bantam Books,Literary Fiction,Eva Luna Isabel Allende,Fiction
0684833395,3.3684210526315788,76,3.3684210526315788,1996,Simon &amp; Schuster,Satire,Catch 22 Joseph Heller,Drama_Humor
0374270325,2.175,40,2.175,1998,Farrar Straus &amp; Giroux,Fiction,A Man in Full Tom Wolfe,Fiction
044023722X,2.5543766578249336,377,2.5543766578249336,2001,Dell Publishing Company,Fiction,A Painted House John Grisham,Fiction
0060977477,3.966666666666667,30,3.966666666666667,1999,Perennial,Unknown,The Perfect Storm : A True Story of Men Against the Sea Sebastian Junger,Unknown
0312963009,1.3666666666666667,60,1.3666666666666667,1997,St. Martin's Press,Science Fiction,Neanderthal: A Novel John Darnton,SciFi_Fantasy
0380728729,2.0476190476190474,21,2.0476190476190474,1998,Avon,Humor,Babyhood Paul Reiser,Drama_Humor
0812541642,0.7777777777777778,18,0.7777777777777778,2000,Tor Books,Fiction,Waiting Frank M. Robinson,Fiction
0380730138,1.668421052631579,190,1.668421052631579,1998,Perennial,Unknown,Vinegar Hill (Oprah's Book Club (Paperback)) A. Manette Ansay,Unknown
1573228737,2.9565217391304346,46,2.9565217391304346,2002,Riverhead Books,Historical Fiction,Affinity Sarah Waters,Historical
0425120279,1.9558823529411764,68,1.9558823529411764,1990,Berkley Publishing Group,Thriller,The Hunt for Red October Tom Clancy,Thriller_Mystery
0060188731,3.86,50,3.86,2001,HarperCollins Publishers,Literary Fiction,Bel Canto Ann Patchett,Fiction
0140374248,3.3255813953488373,43,3.3255813953488373,2000,Penguin USA (Paper),Children,James and the Giant Peach Roald Dahl,Children
0142001740,3.6462264150943398,424,3.6462264150943398,2003,Penguin Books,Fiction,The Secret Life of Bees Sue Monk Kidd,Fiction
0312995423,2.58273381294964,139,2.58273381294964,2003,St. Martin's Press,Unknown,Digital Fortress : A Thriller Dan Brown,Unknown
0385416342,3.125,24,3.125,1991,Doubleday Books,Legal Thriller,The Firm John Grisham,Thriller_Mystery
038542471X,2.4,90,2.4,1993,Doubleday Books,Legal Thriller,The Client John Grisham,Thriller_Mystery
0515128554,2.85,140,2.85,2000,Jove Books,Unknown,Heart of the Sea (Irish Trilogy) Nora Roberts,Unknown
067103619X,1.375,56,1.375,2000,Pocket,Fiction,Lake News Barbara Delinsky,Fiction
0156528207,5.37037037037037,54,5.37037037037037,1968,Harcourt,Children,The Little Prince Antoine de Saint-ExupÃÂ©ry,Children
0380012863,3.7204301075268815,93,3.7204301075268815,1976,Avon,Philosophy,Jonathan Livingston Seagull Richard Bach,Non_Fiction
0671867113,2.5137614678899083,109,2.5137614678899083,1997,Pocket,Mystery,Moonlight Becomes You Mary Higgins Clark,Thriller_Mystery
0060173289,3.0843373493975905,83,3.0843373493975905,1996,HarperCollins,Fiction,Divine Secrets of the Ya-Ya Sisterhood : A Novel Rebecca Wells,Fiction
006101351X,1.757462686567164,268,1.757462686567164,1998,HarperTorch,Unknown,The Perfect Storm : A True Story of Men Against the Sea Sebastian Junger,Unknown
0316666343,3.7227214377406934,779,3.7227214377406934,2002,"Little, Brown",Mystery,The Lovely Bones: A Novel Alice Sebold,Thriller_Mystery
0440224675,2.1555555555555554,225,2.1555555555555554,2000,Dell Publishing Company,Thriller,Hannibal Thomas Harris,Thriller_Mystery
0449002632,2.352112676056338,71,2.352112676056338,1998,Fawcett,Historical Fiction,London : The Novel EDWARD RUTHERFURD,Historical
0553569058,1.4367816091954022,87,1.4367816091954022,1995,Bantam,Literary Fiction,The Robber Bride Margaret Atwood,Fiction
0679427430,1.75,12,1.75,1993,Random House,Memoir,Wouldn't Take Nothing for My Journey Now MAYA ANGELOU,Non_Fiction
1878424319,2.9310344827586206,87,2.9310344827586206,1997,Amber-Allen Publishing,Unknown,The Four Agreements: A Practical Guide to Personal Freedom Don Miguel Ruiz,Unknown
0345335465,3.5,52,3.5,1991,Del Rey Books,Unknown,Dragonflight (Dragonriders of Pern Trilogy (Paperback)) Anne McCaffrey,Unknown
0385333404,0.7916666666666666,24,0.7916666666666666,2000,Dial Books,Romance,Dating Big Bird Laura Zigman,Romance
044021145X,2.7505995203836933,417,2.7505995203836933,1992,Bantam Dell Publishing Group,Legal Thriller,The Firm John Grisham,Thriller_Mystery
0553210092,2.5238095238095237,63,2.5238095238095237,1965,Bantam,Classic,The Scarlet Letter NATHANIEL HAWTHORNE,Fiction
055358099X,2.0344827586206895,58,2.0344827586206895,2000,Bantam Books,Romance,Cloud Nine Luanne Rice,Romance
0316168815,3.6885245901639343,61,3.6885245901639343,2004,Back Bay Books,Mystery,The Lovely Bones Alice Sebold,Thriller_Mystery
0345424719,2.616822429906542,107,2.616822429906542,1999,Ballantine Books,Literary Fiction,A Widow for One Year JOHN IRVING,Fiction
0375726403,2.995305164319249,213,2.995305164319249,2002,Vintage Books USA,Literary Fiction,Empire Falls Richard Russo,Fiction
0385503857,2.736111111111111,72,2.736111111111111,2003,Nan A. Talese,Dystopian,Oryx and Crake Margaret Atwood,SciFi_Fantasy
0440226104,2.1197916666666665,192,2.1197916666666665,1999,Dell,Fiction,Black and Blue ANNA QUINDLEN,Fiction
0452277337,1.6097560975609757,41,1.6097560975609757,1997,Plume Books,Unknown,Le Divorce (William Abrahams Book) Diane Johnson,Unknown
0553802488,3.0,35,3.0,2003,Bantam,Fiction,The Face DEAN KOONTZ,Fiction
0671021001,3.0100334448160537,299,3.0100334448160537,1998,Pocket,Unknown,She's Come Undone (Oprah's Book Club) Wally Lamb,Unknown
0805063897,3.363095238095238,168,3.363095238095238,2002,Owl Books,Unknown,Nickel and Dimed: On (Not) Getting By in America Barbara Ehrenreich,Unknown
0671002481,1.6,80,1.6,1996,Pocket,Unknown,The First Wives Club Movie Tie In Olivia Goldsmith,Unknown
0842329129,3.6146341463414635,205,3.6146341463414635,1996,Tyndale House Publishers,Religious Fiction,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1) Tim Lahaye,Religious
0380973545,2.69811320754717,53,2.69811320754717,1999,William Morrow,Humor,Letters from a Nut Ted L. Nancy,Drama_Humor
0743424425,3.8529411764705883,34,3.8529411764705883,2001,Pocket,Horror,The Shining Stephen King,Horror
0786868015,3.0,39,3.0,2001,Hyperion,Unknown,The Diary of Ellen Rimbauer: My Life at Rose Red Joyce Reardon,Unknown
0446610178,1.0625,48,1.0625,2001,Warner Books,Thriller,The Sky Is Falling Sidney Sheldon,Thriller_Mystery
0060915544,3.528735632183908,174,3.528735632183908,1989,Perennial,Fiction,The Bean Trees Barbara Kingsolver,Fiction
0060932759,2.0441176470588234,68,2.0441176470588234,2000,Perennial,Historical Fiction,Daughter of Fortune Isabel Allende,Historical
0312195516,3.7161862527716187,451,3.7161862527716187,1998,Picador USA,Unknown,The Red Tent (Bestselling Backlist) Anita Diamant,Unknown
0399137807,1.7333333333333334,15,1.7333333333333334,1992,Putnam Pub Group,Mystery,The Cat Who Wasn't There Lilian Jackson Braun,Thriller_Mystery
039914739X,1.9574468085106382,47,1.9574468085106382,2001,Putnam Publishing Group,Crime,Isle of Dogs Patricia Daniels Cornwell,Thriller_Mystery
0451203046,2.5,22,2.5,2001,Signet Book,Fiction,Light a Penny Candle Maeve Binchy,Fiction
0312278586,2.7828947368421053,304,2.7828947368421053,2002,St. Martin's Press,Chick Lit,The Nanny Diaries: A Novel Emma McLaughlin,Romance
0380710218,2.9833333333333334,120,2.9833333333333334,1993,Harper Mass Market Paperbacks (Mm),Crime,Postmortem Patricia Daniels Cornwell,Thriller_Mystery
0515118656,2.038961038961039,77,2.038961038961039,1996,Jove Books,Thriller,The Cove Catherine Coulter,Thriller_Mystery
0671000306,1.5789473684210527,57,1.5789473684210527,1996,Pocket,Unknown,Shock Wave (Dirk Pitt Adventures (Paperback)) Clive Cussler,Unknown
0671673688,1.0727272727272728,110,1.0727272727272728,1990,Pocket,Mystery,While My Pretty One Sleeps Mary Higgins Clark,Thriller_Mystery
0156027321,3.415151515151515,330,3.415151515151515,2003,Harvest Books,Adventure,Life of Pi Yann Martel,Adventure
0385721420,2.0,126,2.0,2003,Anchor,Literary Fiction,Three Junes JULIA GLASS,Fiction
0451202341,1.5818181818181818,110,1.5818181818181818,2001,Signet Book,Fiction,Back Roads Tawni O'Dell,Fiction
0743418190,3.046511627906977,43,3.046511627906977,2002,Atria Books,Chick Lit,In Her Shoes : A Novel Jennifer Weiner,Romance
0385335407,3.2083333333333335,24,3.2083333333333335,2001,Delacorte Press,Romance,The Kiss Danielle Steel,Romance
0553272837,2.216666666666667,60,2.216666666666667,1996,Bantam Books,Romance,Brazen Virtue Nora Roberts,Romance
0440225078,0.7954545454545454,44,0.7954545454545454,2001,Dell Publishing Company,Romance,Ghost Moon Karen Robards,Romance
0425181111,2.4571428571428573,35,2.4571428571428573,2002,Berkley Publishing Group,Thriller,Strangers Dean R. Koontz,Thriller_Mystery
0449907481,2.1824324324324325,148,2.1824324324324325,1992,Ballantine Books,Unknown,A Thousand Acres (Ballantine Reader's Circle) JANE SMILEY,Unknown
0553107305,4.115384615384615,26,4.115384615384615,2002,Bantam,Mystery,Chopping Spree DIANE MOTT DAVIDSON,Thriller_Mystery
080213825X,2.078125,64,2.078125,2001,Grove Press,Chick Lit,Four Blondes Candace Bushnell,Romance
0515127833,1.9272727272727272,110,1.9272727272727272,2003,Jove Books,Romance,River's End Nora Roberts,Romance
0345441133,1.8676470588235294,68,1.8676470588235294,2002,Ballantine Books,Fiction,Summer Island KRISTIN HANNAH,Fiction
0385490992,2.9204545454545454,88,2.9204545454545454,1998,Doubleday Books,Legal Thriller,The Street Lawyer John Grisham,Thriller_Mystery
0385424728,3.217391304347826,92,3.217391304347826,1994,Doubleday Books,Legal Thriller,The Chamber John Grisham,Thriller_Mystery
0385472951,3.4022988505747125,87,3.4022988505747125,1997,Doubleday Books,Legal Thriller,The Partner John Grisham,Thriller_Mystery
0425182878,2.6944444444444446,108,2.6944444444444446,2004,Berkley Publishing Group,Crime,Chosen Prey John Sandford,Thriller_Mystery
0553564528,1.6721311475409837,122,1.6721311475409837,1997,Bantam,Thriller,Guilty as Sin TAMI HOAG,Thriller_Mystery
055356451X,2.3309352517985613,139,2.3309352517985613,1995,Bantam,Thriller,Night Sins TAMI HOAG,Thriller_Mystery
0743412621,3.588235294117647,34,3.588235294117647,2004,Pocket,Mystery,The Second Time Around : A Novel Mary Higgins Clark,Thriller_Mystery
042517736X,1.2820512820512822,78,1.2820512820512822,2000,Berkley Publishing Group,Medical Thriller,Abduction Robin Cook,Thriller_Mystery
0671868713,3.225,40,3.225,2000,Pocket,Unknown,And Never Let Her Go : Thomas Capano: The Deadly Seducer Ann Rule,Unknown
0345313860,3.600790513833992,253,3.600790513833992,1986,Ballantine Books,Unknown,"The Vampire Lestat (Vampire Chronicles, Book II) ANNE RICE",Unknown
0345369947,3.0272727272727273,110,3.0272727272727273,1991,Ballantine Books,Horror,The Mummy or Ramses the Damned Anne Rice,Horror
0385306032,2.2222222222222223,27,2.2222222222222223,1993,Delacorte Press,Romance,Vanished Danielle Steel,Romance
0821772953,2.085714285714286,35,2.085714285714286,2004,Zebra Books,Thriller,The Morning After Lisa Jackson,Thriller_Mystery
0553576925,1.5666666666666667,60,1.5666666666666667,2000,Bantam Books,Unknown,Hiding in the Shadows (Shadows Trilogy (Paperback)) Kay Hooper,Unknown
0446394521,2.425373134328358,134,2.425373134328358,1992,Warner Books,Fiction,Daisy Fay and the Miracle Man Fannie Flagg,Fiction
068484267X,3.2699386503067487,163,3.2699386503067487,1999,Scribner,Memoir,Angela's Ashes: A Memoir Frank McCourt,Non_Fiction
0553578693,1.9391304347826086,115,1.9391304347826086,2002,Bantam,Thriller,The Next Accident LISA GARDNER,Thriller_Mystery
0345413377,3.5,60,3.5,2001,Del Rey,Unknown,"The Amber Spyglass (His Dark Materials, Book 3) PHILIP PULLMAN",Unknown
0345413369,3.6901408450704225,71,3.6901408450704225,1998,Del Rey,Unknown,"The Subtle Knife (His Dark Materials, Book 2) PHILIP PULLMAN",Unknown
0679893105,3.085714285714286,35,3.085714285714286,1998,Knopf Books for Young Readers,Unknown,"The Golden Compass (His Dark Materials, Book 1) PHILIP PULLMAN",Unknown
0451184718,1.5517241379310345,58,1.5517241379310345,1997,Signet Book,Mystery,The Rosewood Casket Sharyn McCrumb,Thriller_Mystery
0060938455,3.539473684210526,228,3.539473684210526,2002,Perennial,Unknown,Fast Food Nation: The Dark Side of the All-American Meal Eric Schlosser,Unknown
0440122090,2.261904761904762,84,2.261904761904762,1989,Dell,Fiction,Echoes Maeve Binchy,Fiction
0671525832,1.8235294117647058,34,1.8235294117647058,2003,Pocket,Romance,Someone to Watch Over Me : A Novel Judith McNaught,Romance
0061009059,3.35,200,3.35,1995,HarperTorch,Unknown,One for the Money (Stephanie Plum Novels (Paperback)) Janet Evanovich,Unknown
0060930187,3.5849056603773586,53,3.5849056603773586,2000,Perennial,Unknown,The Bell Jar : A Novel (Perennial Classics) Sylvia Plath,Unknown
0679450432,2.107142857142857,28,2.107142857142857,1999,Alfred A. Knopf,Legal Thriller,Dark Lady Richard North Patterson,Thriller_Mystery
0446364193,2.4573991031390134,223,2.4573991031390134,1993,Warner Books,Unknown,Along Came a Spider (Alex Cross Novels) James Patterson,Unknown
0446519138,3.4545454545454546,77,3.4545454545454546,1995,Warner Books,Unknown,Simple Abundance:  A Daybook of Comfort and Joy Sarah Ban Breathnach,Unknown
0425179672,4.111111111111111,36,4.111111111111111,2001,Berkley Publishing Group,Fiction,The River King Alice Hoffman,Fiction
0399144463,3.4711538461538463,104,3.4711538461538463,1998,Putnam Pub Group (Paper),Unknown,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life Spencer Johnson,Unknown
0140185216,3.6923076923076925,52,3.6923076923076925,1998,Penguin USA (Paper),Unknown,On the Road (Penguin 20th Century Classics) Jack Kerouac,Unknown
0684801221,3.9615384615384617,52,3.9615384615384617,1995,Scribner,Classic,OLD MAN AND THE SEA Ernest Hemingway,Fiction
0446672211,3.392405063291139,395,3.392405063291139,1998,Warner Books,Unknown,Where the Heart Is (Oprah's Book Club (Paperback)) Billie Letts,Unknown
0140293248,2.398406374501992,251,2.398406374501992,2000,Penguin Books,Fiction,The Girls' Guide to Hunting and Fishing Melissa Bank,Fiction
0142000205,2.8967391304347827,184,2.8967391304347827,2001,Penguin Books,Fiction,Icy Sparks Gwyn Hyman Rubio,Fiction
0385504209,4.190311418685121,578,4.190311418685121,2003,Doubleday,Thriller,The Da Vinci Code Dan Brown,Thriller_Mystery
